active_number,total_number,group
4,8,"('1866', 'chocolate')"
4,8,"('1866', 'chocolate')"
5,8,"('1866', 'chocolate')"
6,8,"('1866', 'chocolate')"
4,8,"('1866', 'chocolate')"
3,8,"('1866', 'chocolate')"
3,8,"('1866', 'chocolate')"
5,8,"('1866', 'chocolate')"
3,8,"('1866', 'chocolate')"
3,8,"('1866', 'chocolate')"
3,8,"('1866', 'chocolate')"
4,8,"('1866', 'chocolate')"
0,8,"('1866', 'chocolate')"
4,8,"('1866', 'chocolate')"
3,8,"('1866', 'chocolate')"
2,8,"('1866', 'chocolate')"
3,8,"('1866', 'chocolate')"
4,7,"('1866', 'quinine')"
3,7,"('1866', 'quinine')"
3,7,"('1866', 'quinine')"
5,7,"('1866', 'quinine')"
5,7,"('1866', 'quinine')"
6,7,"('1866', 'strawberry')"
2,7,"('1866', 'strawberry')"
3,7,"('1866', 'strawberry')"
4,7,"('1866', 'strawberry')"
3,7,"('1866', 'strawberry')"
3,7,"('1866', 'strawberry')"
4,7,"('1866', 'strawberry')"
4,7,"('1866', 'strawberry')"
2,7,"('1866', 'strawberry')"
2,7,"('1866', 'strawberry')"
5,7,"('1866', 'strawberry')"
3,7,"('1866', 'strawberry')"
3,7,"('1866', 'strawberry')"
3,7,"('1866', 'strawberry')"
1,7,"('1866', 'strawberry')"
4,7,"('1866', 'strawberry')"
3,7,"('1866', 'strawberry')"
2,7,"('1866', 'strawberry')"
4,6,"('1866', 'vanilla')"
1,6,"('1866', 'vanilla')"
3,6,"('1866', 'vanilla')"
3,6,"('1866', 'vanilla')"
4,10,"('1866', 'water')"
1,10,"('1866', 'water')"
7,10,"('1866', 'water')"
3,10,"('1866', 'water')"
10,30,"('1891', 'chocolate')"
12,43,"('1891', 'quinine')"
22,43,"('1891', 'quinine')"
8,43,"('1891', 'quinine')"
20,43,"('1891', 'quinine')"
18,36,"('1891', 'strawberry')"
8,36,"('1891', 'strawberry')"
12,36,"('1891', 'strawberry')"
7,47,"('1891', 'vanilla')"
12,39,"('1891', 'water')"
12,39,"('1891', 'water')"
13,39,"('1891', 'water')"
1,12,"('1925', 'chocolate')"
3,12,"('1925', 'chocolate')"
4,12,"('1925', 'chocolate')"
2,12,"('1925', 'quinine')"
4,12,"('1925', 'quinine')"
3,10,"('1925', 'strawberry')"
1,10,"('1925', 'strawberry')"
2,10,"('1925', 'strawberry')"
2,10,"('1925', 'strawberry')"
1,10,"('1925', 'strawberry')"
1,10,"('1925', 'strawberry')"
0,10,"('1925', 'strawberry')"
2,12,"('1925', 'vanilla')"
1,12,"('1925', 'vanilla')"
2,12,"('1925', 'vanilla')"
2,12,"('1925', 'vanilla')"
1,12,"('1925', 'vanilla')"
1,12,"('1925', 'water')"
2,12,"('1925', 'water')"
2,12,"('1925', 'water')"
6,7,"('2015', 'chocolate')"
7,7,"('2015', 'chocolate')"
7,7,"('2015', 'chocolate')"
4,7,"('2015', 'chocolate')"
4,7,"('2015', 'chocolate')"
7,7,"('2015', 'chocolate')"
6,7,"('2015', 'chocolate')"
7,8,"('2015', 'quinine')"
6,8,"('2015', 'quinine')"
7,8,"('2015', 'quinine')"
7,8,"('2015', 'quinine')"
5,8,"('2015', 'quinine')"
7,8,"('2015', 'quinine')"
6,8,"('2015', 'quinine')"
2,4,"('2015', 'strawberry')"
3,4,"('2015', 'strawberry')"
3,4,"('2015', 'strawberry')"
4,4,"('2015', 'strawberry')"
4,4,"('2015', 'strawberry')"
4,4,"('2015', 'strawberry')"
4,4,"('2015', 'strawberry')"
3,4,"('2015', 'strawberry')"
4,4,"('2015', 'strawberry')"
4,4,"('2015', 'strawberry')"
3,4,"('2015', 'strawberry')"
2,4,"('2015', 'strawberry')"
2,4,"('2015', 'strawberry')"
4,4,"('2015', 'strawberry')"
2,4,"('2015', 'strawberry')"
4,4,"('2015', 'strawberry')"
4,4,"('2015', 'strawberry')"
2,4,"('2015', 'strawberry')"
1,4,"('2015', 'strawberry')"
2,4,"('2015', 'strawberry')"
1,4,"('2015', 'strawberry')"
0,4,"('2015', 'strawberry')"
4,4,"('2015', 'strawberry')"
3,4,"('2015', 'strawberry')"
5,5,"('2015', 'vanilla')"
4,5,"('2015', 'vanilla')"
3,5,"('2015', 'vanilla')"
4,5,"('2015', 'vanilla')"
3,5,"('2015', 'vanilla')"
7,7,"('2015', 'water')"
7,7,"('2015', 'water')"
7,7,"('2015', 'water')"
5,7,"('2015', 'water')"
20,23,"('2021', 'chocolate')"
22,23,"('2021', 'chocolate')"
22,23,"('2021', 'chocolate')"
23,24,"('2021', 'quinine')"
23,24,"('2021', 'quinine')"
19,24,"('2021', 'quinine')"
21,24,"('2021', 'quinine')"
20,24,"('2021', 'quinine')"
24,24,"('2021', 'quinine')"
22,24,"('2021', 'quinine')"
22,24,"('2021', 'quinine')"
53,57,"('2021', 'strawberry')"
49,57,"('2021', 'strawberry')"
46,57,"('2021', 'strawberry')"
50,57,"('2021', 'strawberry')"
41,57,"('2021', 'strawberry')"
56,57,"('2021', 'strawberry')"
50,57,"('2021', 'strawberry')"
52,57,"('2021', 'strawberry')"
55,57,"('2021', 'strawberry')"
54,57,"('2021', 'strawberry')"
26,31,"('2021', 'vanilla')"
27,31,"('2021', 'vanilla')"
28,31,"('2021', 'vanilla')"
27,31,"('2021', 'vanilla')"
26,31,"('2021', 'vanilla')"
27,31,"('2021', 'vanilla')"
30,33,"('2021', 'water')"
29,33,"('2021', 'water')"
28,33,"('2021', 'water')"
23,33,"('2021', 'water')"
30,33,"('2021', 'water')"
24,33,"('2021', 'water')"
24,33,"('2021', 'water')"
28,33,"('2021', 'water')"
31,33,"('2021', 'water')"
16,33,"('2023', 'chocolate')"
23,33,"('2023', 'chocolate')"
24,33,"('2023', 'chocolate')"
23,33,"('2023', 'chocolate')"
30,33,"('2023', 'chocolate')"
20,33,"('2023', 'chocolate')"
21,33,"('2023', 'chocolate')"
20,33,"('2023', 'chocolate')"
21,33,"('2023', 'chocolate')"
20,33,"('2023', 'chocolate')"
22,33,"('2023', 'chocolate')"
24,33,"('2023', 'chocolate')"
28,33,"('2023', 'chocolate')"
31,33,"('2023', 'chocolate')"
29,33,"('2023', 'chocolate')"
31,33,"('2023', 'chocolate')"
20,22,"('2023', 'quinine')"
22,22,"('2023', 'quinine')"
22,22,"('2023', 'quinine')"
22,22,"('2023', 'quinine')"
31,38,"('2023', 'strawberry')"
34,38,"('2023', 'strawberry')"
32,38,"('2023', 'strawberry')"
31,38,"('2023', 'strawberry')"
33,38,"('2023', 'strawberry')"
28,38,"('2023', 'strawberry')"
31,38,"('2023', 'strawberry')"
31,38,"('2023', 'strawberry')"
31,38,"('2023', 'strawberry')"
23,38,"('2023', 'strawberry')"
20,38,"('2023', 'strawberry')"
18,20,"('2023', 'vanilla')"
